REG_ID	REG_ID_GROUP	STATION_NAME	SYNONYM_NAMES	ICES_STATION_NAME	LAT_DM	LONG_DM	LATITUDE_WGS84_SWEREF99_DD	LONGITUDE_WGS84_SWEREF99_DD	LATITUDE_SWEREF99TM	LONGITUDE_SWEREF99TM	OUT_OF_BOUNDS_RADIUS	WADEP	EU_CD	MEDIA	COMNT	OLD_SHARK_ID
156755	264383	K10MS			5637.87	1622.70	56.6312	16.3783	6277180	584554	1200			"Biota;Vatten"	VAL-2018-05-14	
156756	264384	K14MS			5639.08	1618.47	56.6513	16.3078	6279340	580187	1200			"Biota;Vatten"	VAL-2018-05-14	
156757	264385	X26 / EXT			6118.65	1709.10	61.3108	17.1517	6799308	615221	1200			"Biota;Vatten"	VAL-2018-05-14	GBSL26
156758	264386	MB3VMS			5703.93	1634.25	57.0655	16.5708	6325773	595252	1200			"Biota;Vatten"	VAL-2018-05-14	
156759	264387	REFM3S3			5748.62	1638.84	57.8103	16.6473	6408785	597880	1200			"Biota;Vatten"		
156760	264388	VA04 YTTRE VALDEMARSVIK	VA04<or>VA04 / YTTR VALDEMARSVIK<or>VA04 YTTR VALDEMARSVIK<or>VALDEMARSVIKEN<or>VALDEMARSVIKEN VA04		5809.24	1641.15	58.154	16.6858	6447096	599214	1200	31	SE644815-155185	"Biota;Vatten"	VAL-2018-05-14	BPNE02
156761	264389	DANAFJORD	DANA<or>DANAFJORD<or>Dana fjord_10<or>Danafjord<or>KA 4<or>KA4<or>Ka 4	KA4	5740.05	1141.20	57.6675	11.6867	6396523	302387	1200	39		"Biota;Vatten"	VAL-2018-05-14	KANI04
156762	264390	M6MS			5700.32	1631.89	57.0053	16.5315	6319022	593018	1200			"Biota;Vatten"	VAL-2018-05-14	
156763	264391	E2MS			5736.21	1635.83	57.6035	16.5972	6385691	595443	1200			"Biota;Vatten"	VAL-2018-05-14	
156764	264392	MBY10MS			5653.41	1634.10	56.8902	16.5683	6306255	595549	1200			"Biota;Vatten"	VAL-2018-05-14	
156765	264393	V8MS			5753.89	1642.12	57.8982	16.702	6418642	600883	1200			"Biota;Vatten"	VAL-2018-05-14	
156766	264394	GAVIKSFJÄRDEN-EDSÄTTERFJÄRDEN G 5	G 5		6252.50	1811.78	62.875	18.1963	6975699	662545	1200		SE697608-162167	"Biota;Vatten"	VAL-2018-05-14	
156767	264395	KL8 KRISTIANOPEL	KL8<or>KL8 / KRISTIANOPEL<or>KRISTIANOPEL		5615.20	1602.45	56.2533	16.0408	6234763	564488	1200	2		"Biota;Vatten"	VAL-2018-05-14	BPWK46
156768	264396	ÅNGERMANÄLVEN 17			6254.97	1748.29	62.9162	17.8048	6979354	642446	1200	31		"Biota;Vatten"	VAL-2018-05-14	GBSY49
156769	264397	BF 32	BF 32		5822.74	1658.27	58.3791	16.9711	6472603	615268	1200			"Biota;Vatten"	VAL-2018-05-14	
156770	264398	M8MS			5657.28	1629.18	56.9547	16.4863	6313323	590397	1200			"Biota;Vatten"	VAL-2018-05-14	
156771	264399	V12MS			5747.12	1636.16	57.7853	16.6027	6405939	595293	1200			"Biota;Vatten"	VAL-2018-05-14	
156772	264400	TOR17			5604.20	1545.40	56.07	15.7567	6214129	547106	1200			"Biota;Vatten"	VAL-2018-05-14	
156773	264401	REF O3-V	O3-V		5715.90	1628.80	57.265	16.48	6347855	589263	1200	6		"Biota;Vatten"	VAL-2018-05-14	BPWK13
156774	264402	GB14 BRÅVIK GERHBERG	BRÅVIK GERHBERG<or>GB14<or>GB14 / BRÅVIK GERHBERG		5838.70	1631.66	58.645	16.5277	6501533	588665	1200			"Biota;Vatten"	VAL-2018-05-14	BPNE35
156775	264403	GB16W2			5836.60	1646.20	58.61	16.77	6497983	602831	1200			"Biota;Vatten"	VAL-2018-05-14	
156776	264404	O6MS			5710.27	1628.62	57.1712	16.477	6337407	589308	1200			"Biota;Vatten"	VAL-2018-05-14	
156777	264405	V13MS			5745.91	1638.37	57.7652	16.6395	6403746	597537	1200			"Biota;Vatten"	VAL-2018-05-14	
156778	264406	ÅNGERMANÄLVEN 0			6301.38	1746.94	63.023	17.7823	6991199	640789	1200	2		"Biota;Vatten"	VAL-2018-05-14	GBSY42
156779	264407	MA7			5608.03	1450.24	56.1338	14.8373	6220987	489890	1200			"Biota;Vatten"	VAL-2018-05-14	
156780	264408	PMK6			5605.30	1544.64	56.0883	15.744	6216160	546295	1200			"Biota;Vatten"	VAL-2018-05-14	
156781	264409	S1-VMS	S1VMS		5759.50	1630.70	57.9917	16.5117	6428782	589370	1200	20		"Biota;Vatten"	VAL-2018-05-14	BPWM09
156782	264410	V6-VMS	V6VMS		5735.30	1632.15	57.5883	16.5358	6383919	591817	1200	22		"Biota;Vatten"	VAL-2018-05-14	BPWM01
156783	264411	GALTERÖ	GALTERÖ<or>Halse Askeröfjord_9<or>SKX 1<or>SKX1	SKX1	5806.55	1148.60	58.1092	11.81	6445308	312059	1200	40		"Biota;Vatten"	VAL-2018-05-14	FIBO10
156784	264412	BF 34B	BF 34B		5812.57	1656.27	58.2095	16.9378	6453672	613861	1200			"Biota;Vatten"	VAL-2018-05-14	
156785	264413	MB1-VMS			5703.90	1634.45	57.065	16.5742	6325722	595456	1200	8		"Biota;Vatten"	VAL-2018-05-14	BPWK11
156786	264414	H3 LAHOLMSBUKTEN	H3		5638.47	1246.90	56.6412	12.7817	6279644	363960	1200			"Biota;Vatten"	VAL-2018-05-14	
156787	264415	MBY12MS			5707.57	1648.54	57.1262	16.809	6332883	609513	1200			"Biota;Vatten"	VAL-2018-05-14	
156788	264416	MOSSBY			5524.94	1338.11	55.4157	13.6351	6141903	413598	1200			"Biota;Vatten"	VAL-2018-05-14	
156789	264417	GAVIKSFJÄRDEN-EDSÄTTERFJÄRDEN G 2	G 2		6250.35	1813.29	62.8392	18.2215	6971774	664023	1200		SE697213-162310	"Biota;Vatten"	VAL-2018-05-14	
156790	264418	TOR20			5603.95	1543.29	56.0658	15.7215	6213641	544921	1200			"Biota;Vatten"	VAL-2018-05-14	
156791	264419	KAARV2			5608.94	1536.70	56.149	15.6117	6222832	538001	1200			"Biota;Vatten"	VAL-2018-05-14	
156792	264420	L19			5601.69	1434.96	56.0282	14.5827	6209293	473991	1200			"Biota;Vatten"	VAL-2018-05-14	
156793	264421	R 3-4			6157.31	1720.54	61.9552	17.3423	6871402	622846	1200			"Biota;Vatten"	VAL-2018-05-14	
156794	264422	B6MS			5654.97	1642.59	56.9162	16.7098	6309356	604096	1200			"Biota;Vatten"	VAL-2018-05-14	
156795	264423	O8MS			5716.43	1629.69	57.2738	16.4948	6348858	590136	1200			"Biota;Vatten"	VAL-2018-05-14	
156796	264424	MBY8MS			5702.48	1647.64	57.0413	16.794	6323417	608854	1200			"Biota;Vatten"	VAL-2018-05-14	
156797	264425	V10MS			5749.93	1628.00	57.8322	16.4667	6410969	587095	1200			"Biota;Vatten"	VAL-2018-05-14	
156798	264426	VD2B			6515.36	2142.84	65.256	21.714	7253673	813110	1200			"Biota;Vatten"	VAL-2018-05-14	
